CUSEC;Barrio;Distrito;Poblacion;Shape__Are;xcoord;ycoord
4109108035;SAN PABLO D Y E;San Pablo - Santa Justa;769;32050.2644;-5.95739;37.39938
4109109010;PALACIO DE CONGRESOS URBADIEZ ENTREPUENTES;Este;2208;485294.7092;-5.94065;37.40601
4109109003;COLORES ENTREPARQUES;Este;2119;380933.1804;-5.91771;37.38841
4109110013;SECTOR SUR LA PALMERA REINA MERCEDES;Bellavista La Palmera;647;26359.63672;-5.98599;37.35797
4109110012;SECTOR SUR LA PALMERA REINA MERCEDES;Bellavista La Palmera;1066;482544.1013;-5.98489;37.36369
4109111004;LOS REMEDIOS;Los Remedios;1000;67005.2373;-6.00233;37.3761
4109111003;LOS REMEDIOS;Los Remedios;874;26137.92163;-6.00339;37.37557
4109105035;LAS LETANIAS;Sur;1679;98245.27686;-5.9664;37.36409
4109111018;LOS REMEDIOS;Los Remedios;1287;48123.87988;-5.99943;37.37494
4109109012;PARQUE ALCOSA JARDINES DEL EDEN;Este;1716;212852.9343;-5.93201;37.41211
4109101041;ARENAL;Casco Antiguo;1177;141558.655;-5.9959;37.38703
4109111012;LOS REMEDIOS;Los Remedios;2073;79858.28418;-5.99752;37.37289
4109111010;LOS REMEDIOS;Los Remedios;1287;384121.7952;-5.99474;37.37085
4109111007;LOS REMEDIOS;Los Remedios;1865;75094.49878;-5.99717;37.3778
4109111014;LOS REMEDIOS;Los Remedios;1333;45397.62671;-6.00073;37.37215
4109110006;BELLAVISTA;Bellavista La Palmera;1002;110804.4189;-5.96655;37.32121
4109111017;LOS REMEDIOS;Los Remedios;1058;35003.6543;-6.00261;37.37407
4109111013;LOS REMEDIOS;Los Remedios;1172;74107.33374;-5.99986;37.37352
4109111011;LOS REMEDIOS;Los Remedios;1169;51384.69873;-5.9962;37.37385
4109110017;PEDRO SALVADOR LAS PALMERITAS GUADAIRA;Bellavista La Palmera;1531;186410.6677;-5.97608;37.35746
4109110010;SECTOR SUR LA PALMERA REINA MERCEDES;Bellavista La Palmera;1240;1171501.792;-5.99012;37.35773
4109111015;LOS REMEDIOS;Los Remedios;1221;51406.25708;-6.00262;37.37209
4109110019;BARRIADA DE PINEDA;Bellavista La Palmera;883;1868130.846;-5.96799;37.35057
4109111019;LOS REMEDIOS;Los Remedios;1396;56528.06958;-5.99833;37.37464
4109111005;LOS REMEDIOS;Los Remedios;1120;77155.54468;-6.00072;37.37728
4109110008;BELLAVISTA;Bellavista La Palmera;1725;199767.8354;-5.96808;37.31692
4109109052;COLORES ENTREPARQUES;Este;1439;54722.64063;-5.92366;37.40268
4109110014;SECTOR SUR LA PALMERA REINA MERCEDES;Bellavista La Palmera;794;218522.0647;-5.98342;37.35829
4109109064;COLORES ENTREPARQUES;Este;965;142122.7737;-5.92062;37.40553
4109111002;LOS REMEDIOS;Los Remedios;1312;306820.4072;-6.0058;37.37381
4109110015;SECTOR SUR LA PALMERA REINA MERCEDES;Bellavista La Palmera;633;77491.19897;-5.98761;37.35637
4109109046;COLORES ENTREPARQUES;Este;1740;54886.66162;-5.91998;37.39334
4109109032;COLORES ENTREPARQUES;Este;1217;186259.6733;-5.92908;37.39881
4109109063;COLORES ENTREPARQUES;Este;1305;84765.07886;-5.91906;37.40242
4109109049;COLORES ENTREPARQUES;Este;1464;55759.39819;-5.92171;37.39568
4109109013;PARQUE ALCOSA JARDINES DEL EDEN;Este;836;94829.15649;-5.92715;37.41255
