CUSEC;Barrio;Distrito;Población_Total;H_total;M_Total;H_00_Entre_0_y_4_años;H_01_Entre_5_y_9_años;H_02_Entre_10_y_14_años;H_03_Entre_15_y_19_años;H_04_Entre_20_y_24_años;H_05_Entre_25_y_29_años;H_06_Entre_30_y_34_años;H_07_Entre_35_y_39_años;H_08_Entre_40_y_44_años;H_09_Entre_45_y_49_años;H_10_Entre_50_y_54_años;H_11_Entre_55_y_59_años;H_12_Entre_60_y_64_años;H_13_Entre_65_y_69_años;H_14_Entre_70_y_74_años;H_15_Entre_75_y_79_años;H_16_Entre_80_y_84_años;H_17_Entre_85_y_89_años;H_18_Entre_90_y_más_años;M_00_Entre_0_y_4_años;M_01_Entre_5_y_9_años;M_02_Entre_10_y_14_años;M_03_Entre_15_y_19_años;M_04_Entre_20_y_24_años;M_05_Entre_25_y_29_años;M_06_Entre_30_y_34_años;M_07_Entre_35_y_39_años;M_08_Entre_40_y_44_años;M_09_Entre_45_y_49_años;M_10_Entre_50_y_54_años;M_11_Entre_55_y_59_años;M_12_Entre_60_y_64_años;M_13_Entre_65_y_69_años;M_14_Entre_70_y_74_años;M_15_Entre_75_y_79_años;M_16_Entre_80_y_84_años;M_17_Entre_85_y_89_años;M_18_Entre_90_y_más_años;Shape__Area;Shape__Length
4109106023;TRIANA ESTE;Triana;821;358;463;10;17;28;22;16;20;18;23;30;27;26;21;19;10;24;17;18;9;3;10;18;24;16;19;19;24;30;36;31;35;27;31;25;31;29;32;14;12;43979.91553;875.704245
4109104028;LOS PAJAROS;Cerro Amate;795;384;411;30;22;17;24;21;37;22;40;28;33;27;26;21;15;5;2;6;5;3;27;24;23;28;15;38;35;26;28;39;29;23;30;11;8;7;10;9;1;60709.0752;1385.198757
4109104033;JUAN XXIII;Cerro Amate;1156;535;621;22;30;34;27;26;30;30;33;49;36;51;45;31;22;15;21;18;7;8;26;22;29;29;24;36;23;49;35;49;50;33;34;36;37;42;27;33;7;102626.6489;1279.491928
4109104035;ROCHELAMBERT;Cerro Amate;1449;676;773;21;33;38;32;36;41;44;48;58;60;58;48;25;24;38;38;22;7;5;25;21;40;41;56;51;36;48;60;66;52;57;30;47;62;31;29;15;6;78884.0791;1493.304158
4109101002;FERIA;Casco Antiguo;950;449;501;13;19;13;16;24;45;28;38;45;37;40;33;31;23;17;16;8;3;0;16;28;26;21;18;26;33;31;48;43;37;36;27;21;35;23;16;9;7;77461.28052;1305.417423
4109101009;SAN VICENTE;Casco Antiguo;876;414;462;19;24;23;20;10;14;31;45;41;42;36;21;20;22;20;14;7;3;2;37;17;22;11;8;19;33;46;57;41;35;25;25;30;19;9;9;12;7;52102.25562;1080.730026
4109101013;SAN VICENTE;Casco Antiguo;1020;469;551;19;19;20;28;25;21;21;38;50;46;49;26;30;26;17;13;8;10;3;24;10;28;20;18;24;36;48;40;40;55;48;28;46;22;28;18;10;8;106996.1218;1667.784603
4109101020;SAN GIL;Casco Antiguo;972;473;499;19;24;20;22;18;26;37;44;49;40;46;32;30;25;12;14;12;1;2;18;16;10;19;21;23;38;44;52;38;44;37;38;18;18;28;14;12;11;50954.1106;1145.504351
4109101027;MUSEO;Casco Antiguo;1391;641;750;19;28;39;33;29;27;43;44;56;45;49;46;36;47;37;25;22;12;4;17;24;33;22;37;34;39;55;49;60;57;56;61;41;53;43;24;24;21;314659.9358;3363.278318
4109101006;ENCARNACION REGINA;Casco Antiguo;1139;515;624;21;19;25;17;15;28;49;50;53;48;33;37;30;31;23;16;11;5;4;15;14;26;25;21;40;50;55;47;61;37;41;36;36;31;25;22;20;22;109226.7952;1500.847202
4109101008;SAN JULIAN;Casco Antiguo;1395;651;744;26;33;31;22;24;40;41;50;56;55;52;35;31;45;48;33;21;5;3;27;37;24;26;17;44;36;57;61;56;37;43;61;62;52;34;44;14;12;70579.34766;1350.805879
4109101023;FERIA;Casco Antiguo;2329;1124;1205;45;67;49;44;41;59;64;104;139;126;115;87;61;43;28;21;16;12;3;51;50;59;46;47;59;76;115;129;110;128;78;74;52;34;45;18;24;10;146176.5396;2174.550532
4109101010;SAN VICENTE;Casco Antiguo;1407;660;747;31;31;37;39;21;30;41;63;53;60;49;40;51;37;34;20;12;8;3;27;26;42;24;31;39;45;66;52;69;50;49;46;48;41;32;28;14;18;311583.8643;2833.004392
